fastq_files_basename	subfolder	mdc_project	project_sample	sample_sheet_number	lane
P1861_APA23_T_S_S41_L006	run1	P1861	APA23-TS	S41	L006
P1861_APA32_T_S_S42_L006	run1	P1861	APA32-TS	S42	L006
P1861_APA45_T_S38_L006	run1	P1861	APA45-T	S38	L006
P1861_APA53_T_S39_L006	run1	P1861	APA53-T	S39	L006
P1861_APA61_T_S40_L006	run1	P1861	APA61-T	S40	L006
P1861_APA61_T_S_S43_L006	run1	P1861	APA61-TS	S43	L006
P3501_01__DNA_20_APA69_N_S62_L004	run2	P3501	APA69-N	S62	L004
P3501_01__DNA_48_iAPA6_NF_S90_L004	run2	P3501	iAPA6-NF	S90	L004
P3501_01__DNA_30_APA81_N_S72_L003	run2	P3501	APA81-N	S72	L003
P3501_01__DNA_42_iAPA3_NF_S84_L004	run2	P3501	iAPA3-NF	S84	L004
P3501_01__DNA_22_APA74_N_S64_L003	run2	P3501	APA74-N	S64	L003
P3501_01__DNA_29_APA81_T_S71_L003	run2	P3501	APA81-T	S71	L003
P3501_01__DNA_46_iAPA5_N_S88_L004	run2	P3501	iAPA5-N	S88	L004
P3501_01__DNA_15_APA55_T_S58_L004	run2	P3501	APA55-T	S58	L004
P3501_01__DNA_45_iAPA5_NF_S87_L004	run2	P3501	iAPA5-NF	S87	L004
P3501_01__DNA_14_APA38_N_S57_L004	run2	P3501	APA38-N	S57	L004
P3501_01__DNA_11_APA13_T_S54_L004	run2	P3501	APA13-T	S54	L004
P3501_01__DNA_20_APA69_N_S62_L003	run2	P3501	APA69-N	S62	L003
P3501_01__DNA_08_APA10_N_S51_L003	run2	P3501	APA10-N	S51	L003
P3501_01__DNA_47_iAPA6_F_S89_L004	run2	P3501	iAPA6-F	S89	L004
P3501_01__DNA_31_APA86_T_S73_L004	run2	P3501	APA86-T	S73	L004
P3501_01__DNA_02_APA1_N_S46_L003	run2	P3501	APA1-N	S46	L003
P3501_01__DNA_24_APA75_N_S66_L004	run2	P3501	APA75-N	S66	L004
P3501_01__DNA_08_APA10_N_S51_L004	run2	P3501	APA10-N	S51	L004
P3501_01__DNA_49_iAPA6_N_S91_L003	run2	P3501	iAPA6-N	S91	L003
P3501_01__DNA_21_APA74_T_S63_L004	run2	P3501	APA74-T	S63	L004
P3501_01__DNA_45_iAPA5_NF_S87_L003	run2	P3501	iAPA5-NF	S87	L003
P3501_01__DNA_41_iAPA3_F_S83_L004	run2	P3501	iAPA3-F	S83	L004
P3501_01__DNA_47_iAPA6_F_S89_L003	run2	P3501	iAPA6-F	S89	L003
P3501_01__DNA_06_APA3_N_S49_L003	run2	P3501	APA3-N	S49	L003
P3501_01__DNA_36_iAPA1_NF_S78_L004	run2	P3501	iAPA1-NF	S78	L004
P3501_01__DNA_26_APA78_N_S68_L003	run2	P3501	APA78-N	S68	L003
P3501_01__DNA_23_APA75_T_S65_L004	run2	P3501	APA75-T	S65	L004
P3501_01__DNA_49_iAPA6_N_S91_L004	run2	P3501	iAPA6-N	S91	L004
P3501_01__DNA_05_APA3_T_S48_L003	run2	P3501	APA3-T	S48	L003
P3501_01__DNA_30_APA81_N_S72_L004	run2	P3501	APA81-N	S72	L004
P3501_01__DNA_44_iAPA5_F_S86_L004	run2	P3501	iAPA5-F	S86	L004
P3501_01__DNA_10_APA12_N_S53_L003	run2	P3501	APA12-N	S53	L003
P3501_01__DNA_32_APA86_N_S74_L004	run2	P3501	APA86-N	S74	L004
P3501_01__DNA_17_APA58_T_S59_L004	run2	P3501	APA58-T	S59	L004
P3501_01__DNA_42_iAPA3_NF_S84_L003	run2	P3501	iAPA3-NF	S84	L003
P3501_01__DNA_19_APA69_T_S61_L003	run2	P3501	APA69-T	S61	L003
P3501_01__DNA_12_APA13_N_S55_L004	run2	P3501	APA13-N	S55	L004
P3501_01__DNA_38_iAPA2_F_S80_L004	run2	P3501	iAPA2-F	S80	L004
P3501_01__DNA_19_APA69_T_S61_L004	run2	P3501	APA69-T	S61	L004
P3501_01__DNA_41_iAPA3_F_S83_L003	run2	P3501	iAPA3-F	S83	L003
P3501_01__DNA_17_APA58_T_S59_L003	run2	P3501	APA58-T	S59	L003
P3501_01__DNA_28_APA79_N_S70_L003	run2	P3501	APA79-N	S70	L003
P3501_01__DNA_18_APA58_N_S60_L003	run2	P3501	APA58-N	S60	L003
P3501_01__DNA_14_APA38_N_S57_L003	run2	P3501	APA38-N	S57	L003
P3501_01__DNA_13_APA38_T_S56_L004	run2	P3501	APA38-T	S56	L004
P3501_01__DNA_11_APA13_T_S54_L003	run2	P3501	APA13-T	S54	L003
P3501_01__DNA_18_APA58_N_S60_L004	run2	P3501	APA58-N	S60	L004
P3501_01__DNA_44_iAPA5_F_S86_L003	run2	P3501	iAPA5-F	S86	L003
P3501_01__DNA_06_APA3_N_S49_L004	run2	P3501	APA3-N	S49	L004
P3501_01__DNA_35_iAPA1_F_S77_L003	run2	P3501	iAPA1-F	S77	L003
P3501_01__DNA_25_APA78_T_S67_L003	run2	P3501	APA78-T	S67	L003
P3501_01__DNA_39_iAPA2_NF_S81_L004	run2	P3501	iAPA2-NF	S81	L004
P3501_01__DNA_37_iAPA1_N_S79_L004	run2	P3501	iAPA1-N	S79	L004
P3501_01__DNA_33_APA87_T_S75_L004	run2	P3501	APA87-T	S75	L004
P3501_01__DNA_40_iAPA2_N_S82_L004	run2	P3501	iAPA2-N	S82	L004
P3501_01__DNA_27_APA79_T_S69_L003	run2	P3501	APA79-T	S69	L003
P3501_01__DNA_12_APA13_N_S55_L003	run2	P3501	APA13-N	S55	L003
